iter	MultiClass
0	1.380377739
1	1.01146789
2	0.8000825043
3	0.6785607275
4	0.5845328099
5	0.5169703031
6	0.4565033794
7	0.4238136649
8	0.4014041623
9	0.3735835605
10	0.3421758894
11	0.3119399824
12	0.2949632388
13	0.2838109372
14	0.269857887
15	0.2574713596
16	0.247406428
17	0.2365395847
18	0.2283549409
19	0.2187480322
20	0.2121121283
21	0.2099624501
22	0.2051640288
23	0.1987362206
24	0.1927680127
25	0.1915288873
26	0.1894176534
27	0.1832327053
28	0.1832113885
29	0.1769316527
30	0.17432672
31	0.1684998374
32	0.1674344199
33	0.166693958
34	0.1644604009
35	0.1605992831
36	0.1591827678
37	0.1576023199
38	0.1569202683
39	0.1564385031
40	0.1555217602
41	0.1537746331
42	0.1522376715
43	0.1516235322
44	0.1513017217
45	0.1511561495
46	0.1507106727
47	0.1498613989
48	0.1496848444
49	0.1495420577
