iter	Passed	Remaining
0	3409	167041
1	6324	151779
2	9435	147821
3	12522	144010
4	15574	140166
5	18595	136370
6	21703	133323
7	24580	129048
8	27326	124488
9	30150	120600
10	33357	118267
11	36486	115541
12	39439	112250
13	42263	108677
14	45209	105488
15	48477	103014
16	51530	100030
17	54690	97228
18	57706	94153
19	60743	91115
20	63550	87760
21	66202	84257
22	69029	81034
23	71805	77788
24	74558	74558
25	77212	71272
26	79966	68119
27	82741	65011
28	85321	61784
29	88094	58729
30	90297	55343
31	92222	51875
32	94233	48544
33	96237	45288
34	98032	42014
35	100004	38890
36	102054	35857
37	104757	33081
38	107384	30288
39	109215	27303
40	111062	24379
41	113017	21527
42	115192	18752
43	117131	15972
44	119612	13290
45	121453	10561
46	123288	7869
47	125064	5211
48	126845	2588
49	128677	0
